index,tittle,genre,overview,director,cast
347,Sivappu Manjal Pachai,Action,"Sivappu Manjal Pachai (2019, Action): A family action drama about a cop and a racer resolving their rivalry, Ascension:",Sasi,Siddharth
348,Gurkha,Action,"Gurkha (2019, Action): A comedy-action film about a security guard, played by Yogi Babu, who humorously thwarts a terrorist attack at a mall, blending action with light-hearted comedy.",Sam Anton,Yogi Babu
349,Vennila Kabaddi Kuzhu 2,Action,"Vennila Kabaddi Kuzhu 2 (2019, Action): A sequel to the 2009 film, this sports drama follows a new kabaddi team’s journey, focusing on teamwork, rivalry, and emotional triumphs in rural Tamil Nadu.",Selva Sekaran,Appukutty
350,Bodhai Yeri Budhi Maari,Drama,"Bodhai Yeri Budhi Maari (2019, Drama): A psychological drama about a man waking up in a stranger’s life, exploring themes of identity, reality, and personal transformation.",Chandru,Charlie
351,Kalavani 2,Comedy,"Kalavani 2 (2019, Comedy): A sequel to Kalavani, this rural comedy follows a young man’s humorous efforts to win his love and family approval amidst village politics, starring Vimal.",A. Sarkunam,Vimal
352,Raatchasi,Drama,"Raatchasi (2019, Drama): A social drama about a headmistress, played by Jyothika, transforming a struggling government school, addressing educational reform and societal challenges.",Sy Gowthamraj,Jyotika
353,Jiivi,Drama,"Jiivi (2019, Drama): A thriller-drama about a clever but poor man planning a heist, only to face unexpected consequences, blending suspense with intellectual twists.",V.J. Gopinath,Vetri
354,Dharma Prabhu,Drama,"Dharma Prabhu (2019, Drama): A fantasy-drama about a man unexpectedly becoming the successor to Yama, the god of death, navigating moral dilemmas with humor and heart.",S. Muthukumaran,Yogi Babu
355,House Owner,Drama,"House Owner (2019, Drama): An emotional drama about an elderly couple facing the Chennai floods, highlighting love, resilience, and human connection during a crisis.",Lakshmi Ramakrishnan,Lovelyn Chandrasekhar
356,Sindhubaadh,Action,"Sindhubaadh (2019, Action): An action thriller about a small-time crook and his mute friend embarking on a rescue mission abroad, starring Vijay Sethupathi.",S.U. Arun Kumar,Vijay Sethupathi
357,Thumbaa,Adventure,"Thumbaa (2019, Adventure): A family-friendly adventure about two painters protecting a tiger cub in a forest, blending humor, action, and environmental themes.",Harish Ram L.H.,Kpy Bala
358,Game Over,Drama,"Game Over (2019, Drama): A psychological thriller about a woman with PTSD facing a serial killer, exploring trauma and survival, starring Taapsee Pannu.",Ashwin Saravanan,Taapsee Pannu
359,Kolaigaran,Action,"Kolaigaran (2019, Action): A crime thriller about a detective investigating a series of murders, uncovering a complex web of motives, starring Arjun Sarja.",Andrew Louis,Vijay Antony
360,NGK,Action,"NGK (2019, Action): A political action drama about an educated young man entering politics to fight corruption, starring Suriya, though criticized for its narrative.",K. Selvaraghavan,Suriya
361,Devi 2,Comedy,"Devi 2 (2019, Comedy): A horror-comedy sequel to Devi, about a couple facing supernatural chaos due to possession, blending humor and scares, starring Tamannaah.",A.L. Vijay,Prabhu Deva
362,Neeya 2,Horror,"Neeya 2 (2019, Horror): A romantic horror film about a woman possessed by a snake spirit, exploring love and supernatural vengeance, a loose sequel to Neeya.",Suresh,Jai
363,Ayogya,Action,"Ayogya (2019, Action): A remake of Temper, this action drama follows a corrupt cop’s transformation to fight for justice after a personal tragedy, starring Vishal.",Venkat Mohan,Vishal
364,Kee,Action,"Kee (2019, Action): A cyber-thriller about a hacker battling a psychopath manipulating people through technology, starring Jiiva.",Kalees,Jiiva
365,K-13,Action,"K-13 (2019, Action): A psychological thriller about a filmmaker waking up next to a dead body, unraveling a mystery with twists, starring Arulnithi.",Barath Neelakantan,Arulnithi
366,Mr. Local,Action,"Mr. Local (2019, Action): A romantic action-comedy about a man clashing with a spirited woman, leading to humorous and romantic developments, starring Sivakarthikeyan.",M. Rajesh,Sivakarthikeyan
367,100,Action,"100 (2019, Action): An action thriller about a cop working undercover to bust a drug racket, filled with suspense and action, starring Atharvaa.",Sam Anton,Atharvaa Murali
368,Vellai Pookal,Crime,"Vellai Pookal (2019, Crime): A crime thriller about a retired cop solving a murder mystery in a quiet neighborhood, starring Vivek.",Vivek Elangovan,Vivek
369,Mehandi Circus,Drama,"Mehandi Circus (2019, Drama): A romantic drama about a circus performer and a shopkeeper’s love story, set against caste and societal barriers, starring Madhampatty Rangaraj.",Raju Saravanan,Madhampatty Rangaraj
370,Kanchana 3,Action,"Kanchana 3 (2019, Action): A horror-action-comedy sequel about a man possessed by spirits seeking justice, blending scares, humor, and action, starring Raghava Lawrence.",Lawrence Raghavendra,Lawrence Raghavendra
371,Watchman,Thriller,"Watchman (2019, Thriller): A thriller about a night watchman caught in a dangerous situation involving a kidnapped dog, starring G.V. Prakash Kumar.",A.L. Vijay,G.V. Prakash Kumar
372,Gangs Of Madras,Action,"Gangs Of Madras (2019, Action): A crime drama about a woman turning to crime to avenge her husband’s death, exploring revenge and underworld dynamics.",C.V. Kumar,Daniel Balaji
373,Uriyadi 2,Action,"Uriyadi 2 (2019, Action): A political action thriller, a sequel to Uriyadi, about a young man fighting corporate pollution and social injustice, starring Vijay Kumar.",Vijay Kumar,Vijay Kumar
374,Kuppathu Raja,Comedy,"Kuppathu Raja (2019, Comedy): A comedy-drama about a slum youth navigating love and rivalry, starring G.V. Prakash Kumar, with humorous and emotional moments.",Baba Bhaskar,G.V. Prakash Kumar
375,Natpe Thunai,Comedy,"Natpe Thunai (2019, Comedy): A sports comedy about a hockey player helping a team in Pondicherry, blending humor, romance, and sports, starring Hiphop Tamizha.",Parthiban Desingu,Hiphop Tamizha Adhi
376,Super Deluxe,Action,"Super Deluxe (2019, Action): A dark comedy-anthology blending multiple stories about morality, identity, and fate, starring Vijay Sethupathi and Fahadh Faasil.",Thiagarajan Kumararaja,Vijay Sethupathi
377,Airaa,Drama,"Airaa (2019, Drama): A horror-drama about a journalist investigating a haunted house, uncovering a tragic past, starring Nayanthara in a dual role.",Sarjun,Nayanthara
378,Agni Devi,Crime,"Agni Devi (2019, Crime): A crime thriller about a cop uncovering a political conspiracy linked to a murder, starring Bobby Simha.",Jpr,Sathish Krishnan
379,Nedunalvaadai,Drama,"Nedunalvaadai (2019, Drama): A rural drama about a grandfather and grandson facing family disputes and societal challenges, emphasizing love and resilience.",Selvakannan,Elvis Alexander
380,Ispade Rajavum Idhaya Raniyum,Drama,"Ispade Rajavum Idhaya Raniyum (2019, Drama): A romantic drama about a volatile young man’s intense love story, exploring toxic relationships, starring Harish Kalyan.",Ranjit Jeyakodi,Harish Kalyan
381,Sathru,Thriller,"Sathru (2019, Thriller): A crime thriller about a cop chasing a kidnapper, filled with suspense and action, starring Kathir.",Naveen Nanjundan,Master Ajithesh
382,Boomerang,Action,"Boomerang (2019, Action): An action drama about a man undergoing face surgery to fight for farmers’ rights, starring Atharvaa.",R. Kannan,Atharvaa Murali
383,Thadam,Action,"Thadam (2019, Action): A crime thriller about a murder case involving identical twins, unraveling a complex mystery, starring Arun Vijay.",Magizh Thirumeni,Arun Vijay
384,90 ML,Comedy,"90 ML (2019, Comedy): A bold comedy about a group of women enjoying life and love, tackling taboos with humor, starring Oviya.",Anita Udeep,Oviya
385,LKG,Comedy,"LKG (2019, Comedy): A political satire about a small-time politician’s rise to power through social media, starring RJ Balaji.",Prabhu,RJ Balaji
386,Vantha Rajavathaan Varuven,Action,"Vantha Rajavathaan Varuven (2019, Action): A comedic action film about a rich man winning his estranged family’s love, remade from Attarintiki Daredi, starring Simbu.",Sundar C.,T.R. Silambarasan
387,Dhilluku Dhuddu 2,Comedy,"Dhilluku Dhuddu 2 (2019, Comedy): A horror-comedy sequel about a man cursed by a spirit, blending spooky laughs and romance, starring Santhanam.",Rambala,Santhanam
388,Dev,Action,"Dev (2019, Action): A romantic action film about a thrill-seeking man finding love and purpose, starring Karthi.",Rajath Ravishankar,Karthi
389,Charlie Chaplin 2,Comedy,"Charlie Chaplin 2 (2019, Comedy): A comedy sequel about a man’s humorous efforts to save his marriage amidst misunderstandings, starring Prabhu Deva.",Sakthi Chidambaram,Prabhu Deva
390,Petta,Action,"Petta (2019, Action): A Rajinikanth-starrer action drama about a hostel warden with a mysterious past, battling a powerful enemy, blending style and action.",Karthik Subbaraj,Rajinikanth
391,Viswasam,Action,"Viswasam (2019, Action): An action drama about a village strongman reuniting with his estranged wife and daughter, starring Ajith, focusing on family and redemption.",Siva,Ajith Kumar
392,Master,Action Thriller,A professor with a drinking problem is sent to a juvenile school where he clashes with a gangster who uses the school children for criminal activities.,Lokesh Kanagaraj,"Vijay, Vijay Sethupathi, Malavika Mohanan, Andrea Jeremiah, Shanthanu Bhagyaraj"
393,Doctor,Action Comedy,An army doctor attempts to track down his ex-fiancée's kidnapped niece through unconventional methods.,Nelson Dilipkumar,"Sivakarthikeyan, Vinay Rai, Priyanka Arul Mohan, Yogi Babu"
394,Karnan,Action Drama,"A fearless village youth takes on the oppressive forces exploiting his community, leading to a violent confrontation.",Mari Selvaraj,"Dhanush, Lal, Yogi Babu, Natarajan Subramaniam, Rajisha Vijayan"
395,Sulthan,Action Drama,A man raised by gangsters tries to reform them and bring peace to his community while confronting his own past.,Bakkiyaraj Kannan,"Karthi, Rashmika Mandanna, Napoleon, Lal"
396,Maanaadu,Political Sci-Fi Thriller,A man trapped in a time loop must prevent a political assassination during a public event.,Venkat Prabhu,"Silambarasan, SJ Suryah, Kalyani Priyadarshan, SA Chandrasekhar"
397,Beast,Action Thriller,A former RAW agent takes on a terrorist group holding hostages in a mall.,Nelson Dilipkumar,"Vijay, Pooja Hegde, Selvaraghavan, Yogi Babu"
398,Vikram,Action Thriller,"A special investigator is assigned to track down a drug cartel, uncovering a web of crime and deception.",Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Suriya"
399,Thiruchitrambalam,Romantic Comedy,"A man navigates love, family, and relationships while dealing with personal loss and emotional growth.",Mithran R Jawahar,"Dhanush, Nithya Menen, Raashii Khanna, Priya Bhavani Shankar"
400,Ponniyin Selvan: I,Historical Drama,"A historical epic based on the Chola dynasty, focusing on political intrigue and power struggles.",Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi, Trisha"
401,Sardar,Action Spy Thriller,A spy must confront his past and a dangerous conspiracy to save his country from a looming threat.,PS Mithran,"Karthi, Raashii Khanna, Rajisha Vijayan, Chunky Panday"
402,Annaatthe,Action Drama,"A village leader protects his family and community from external threats, emphasizing familial bonds.",Siva,"Rajinikanth, Meena, Khushbu, Nayanthara, Keerthy Suresh"
403,Don,Comedy Drama,A young man struggles to find his purpose while navigating college life and familial expectations.,Cibi Chakravarthi,"Sivakarthikeyan, Priyanka Arul Mohan, SJ Suryah, Samuthirakani"
404,Jai Bhim,Legal Drama,A lawyer fights for justice for a tribal couple against systemic oppression and police brutality.,TJ Gnanavel,"Suriya, Lijomol Jose, Manikandan, Rajisha Vijayan"
405,Kaathuvaakula Rendu Kaadhal,Romantic Comedy,"A man juggles relationships with two women, leading to comedic and emotional chaos.",Vignesh Shivan,"Vijay Sethupathi, Nayanthara, Samantha"
406,Naane Varuvean,Psychological Thriller,"A man confronts his dark past and a mysterious twin, unraveling a chilling mystery.",Selvaraghavan,"Dhanush, Indhuja Ravichandran, Yogi Babu, Prabhu"
407,Enemy,Action Thriller,Two childhood friends turned rivals face off in a high-stakes battle of wits and strength.,Anand Shankar,"Vishal, Arya, Mirnalini Ravi, Mamta Mohandas"
408,Navarasa,Anthology Drama,"A collection of nine stories exploring different emotions, each with a unique narrative.",Various Directors,"Suriya, Vijay Sethupathi, Siddharth, Parvathy Thiruvothu, Arvind Swami"
409,Pushpa: The Rise (Tamil Dub),Action Drama,"A laborer rises through the ranks of a smuggling syndicate, facing moral dilemmas.",Sukumar,"Allu Arjun, Rashmika Mandanna, Fahadh Faasil"
410,Valimai,Action Thriller,A cop takes on a biker gang involved in criminal activities across the city.,H Vinoth,"Ajith Kumar, Huma Qureshi, Kartikeya Gummakonda"
411,Eeswaran,Action Drama,A man reunites with his family to resolve old conflicts and protect them from new threats.,Suseenthiran,"Silambarasan, Bharathiraja, Nidhhi Agerwal, Nandita Swetha"
412,Kabadadaari,Crime Thriller,A traffic cop uncovers a decades-old murder case and seeks justice.,Pradeep Krishnamoorthy,"Sibiraj, Nandita Swetha, Nassar, Jayaprakash"
413,Chakra,Action Thriller,A soldier and a police officer team up to stop a cyber hacker threatening national security.,MS Anandan,"Vishal, Shraddha Srinath, Regina Cassandra"
414,Kutty Story,Anthology Romance,Four short stories exploring different facets of love and relationships.,Various Directors,"Vijay Sethupathi, Amala Paul, Gautham Menon, Megha Akash"
415,Kalathil Santhippom,Sports Drama,"Two friends compete in a kabaddi tournament, testing their bond and ambitions.",N Rajasekar,"Jiiva, Arulnithi, Manjima Mohan, Priya Bhavani Shankar"
416,Nenjam Marappathillai,Horror Thriller,A man’s obsession with a woman leads to supernatural and psychological horrors.,Selvaraghavan,"SJ Suryah, Regina Cassandra, Nandita Swetha"
417,Thaen,Drama,A tribal couple faces societal and environmental challenges to survive in their forest home.,Ganesh Vinayakan,"Tharun, Abarnathi"
418,Kamali from Nadukkaveri,Drama,A young girl defies societal norms to pursue education in a rural setting.,Rajasekar Duraisamy,"Anandhi, Rohit Saraf, Azhagam Perumal"
419,Pogaru (Tamil Dub),Action,A young man takes on a powerful gangster to protect his loved ones.,Nanda Kishore,"Dhruva Sarja, Rashmika Mandanna, Dhananjay"
420,Bhoomi,Action Drama,A farmer fights against corporate forces threatening his village’s livelihood.,Lakshman,"Jayam Ravi, Nidhhi Agerwal, Ronit Roy"
421,Puli Joodham (Tamil Dub),Action Thriller,A cop investigates a series of murders linked to a mysterious killer.,B Unnikrishnan,"Mohanlal, Vishal, Hansika Motwani"
422,Teddy,Action Fantasy,A young man and his talking teddy bear solve a kidnapping mystery.,Shakti Soundar Rajan,"Arya, Sayyeshaa, Sakshi Agarwal"
423,Calls,Thriller,A woman receives mysterious calls that unravel dark secrets about her life.,J Sabarish,"VJ Chitra, Vinod, Delhi Ganesh"
424,Pattas,Action Drama,A martial artist uncovers his father’s legacy and fights to preserve it.,RS Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra"
425,MGR Magan,Comedy Drama,A farmer’s son navigates family disputes and village politics with humor.,Ponram,"Sasikumar, Sathyaraj, Samuthirakani, Saranya Ponvannan"
426,Kodiyil Oruvan,Action Drama,An IAS aspirant fights corruption and societal issues to uplift his community.,Ananda Krishnan,"Vijay Antony, Aathmika, Ramachandra Raju"
427,Methagu,Biographical Drama,A historical drama about a revolutionary’s fight against oppression.,Kitturetnam Sri Balan,"Lizzie Antony, Kutti Manni, Eeshwar"
428,Thittam Irandu,Crime Thriller,"A woman investigates her friend’s disappearance, uncovering a web of deceit.",Vignesh Karthick,"Aishwarya Rajesh, Gokul Anand, Subash Selvam"
429,Raangi,Action Thriller,A journalist’s investigation into a crime ring puts her life in danger.,M Saravanan,"Trisha, Anaswara Rajan, Bekzod Abdumalikov"
430,Sivaranjiniyum Innum Sila Pengalum,Anthology Drama,Three stories of women navigating societal constraints across different eras.,Vasantha Balan,"Parvathy Thiruvothu, Kalieaswari Srinivasan, Lakshmi Priyaa"
431,Boomika,Horror Thriller,A couple faces supernatural events while renovating an eco-resort.,R Rathindran Prasad,"Aishwarya Rajesh, Vidhu, Surya Ganapathy"
432,Thalaivii,Biographical Drama,"A biopic on the life of J. Jayalalithaa, tracing her journey in politics.",AL Vijay,"Kangana Ranaut, Arvind Swami, Nassar, Bhagyashree"
433,Aranmanai 3,Horror Comedy,A family uncovers supernatural secrets in a haunted palace.,Sundar C,"Arya, Raashi Khanna, Andrea Jeremiah, Sundar C"
434,Udanpirappe,Family Drama,Two siblings reunite to resolve family disputes and restore harmony.,Era Saravanan,"Jyothika, Sasikumar, Samuthirakani, Kalaiyarasan"
435,Lift,Thriller,Employees trapped in an office building face mysterious and terrifying events.,Vineeth Varaprasad,"Kavin, Amritha Aiyer, Kiran"
436,Oh Manapenne,Romantic Comedy,"A modern retelling of Pelli Choopulu, focusing on love and ambition.",Kaarthikk Sundar,"Harish Kalyan, Priya Bhavani Shankar, Anbuthasan"
437,Mugizh,Drama,A heartwarming tale of a girl and her pet dog navigating life’s challenges.,Karthik Swaminathan,"Regina Cassandra, Sreeja, Vijay Sethupathi"
438,Rudra Thandavam,Action Drama,A cop takes on drug lords and societal issues in a gritty battle.,Mohan G,"Richard Rishi, Gautham Vasudev Menon, Radha Ravi"
439,Velan,Family Drama,A young man fights to protect his family’s legacy and village traditions.,Kavin Moorthy,"Soori, Brigida Saga, Hareesh Peradi"
440,Varudu Kaavalenu (Tamil Dub),Romantic Comedy,A woman balances career and love while facing societal pressures.,Lakshmi Sowjanya,"Naga Shaurya, Ritu Varma, Murali Sharma"
441,Tughlaq Durbar,Political Satire,A young politician’s rise is complicated by a mysterious alter ego.,Delhiprasad Deenadayalan,"Vijay Sethupathi, Raashi Khanna, Manjima Mohan, Parthiban"
442,Cinderella,Horror Thriller,A young woman faces supernatural horrors in a mysterious mansion.,Vinoo Venkatesh,"Raai Laxmi, Sakshi Agarwal, Kalloori Vinoth"
443,Chinnanjiru Kiliye,Drama,A father and daughter navigate emotional and societal challenges.,Sabarinathan Muthu,"Senthilnathan, Archana, Baby Sandra"
444,Netrikann,Thriller,"A visually impaired woman becomes a witness to a crime, fighting for justice.",Milind Rau,"Nayanthara, Ajmal Ameer, Manikandan"
445,Sarpatta Parambarai,Sports Drama,A boxer rises in the 1970s Chennai boxing scene amidst caste and political tensions.,Pa Ranjith,"Arya, Pasupathy, John Kokken, Kalaiyarasan"
446,Kasada Thapara,Anthology Drama,Six interconnected stories explore life’s complexities and human emotions.,Chimbu Deven,"Sundeep Kishan, Regina Cassandra, Vijayalakshmi, Premgi Amaren"
447,Boom Boom,Comedy,A quirky tale of mistaken identities and comedic adventures.,Sudha K Prasad,"Santhanam, Swathi Muppala, Motta Rajendran"
448,Sridevi Soda Center (Tamil Dub),Romantic Drama,A young couple’s love story faces caste and societal barriers.,Karuna Kumar,"Sudheer Babu, Anandhi, Naresh"
449,Thalli Pogathey,Romantic Drama,A man deals with heartbreak and personal growth after a failed relationship.,R Kannan,"Atharvaa, Anupama Parameswaran, Amitash Pradhan"
450,Maaran,Action Thriller,"A journalist uncovers a conspiracy, putting his life at risk.",Karthick Naren,"Dhanush, Malavika Mohanan, Smruthi Venkat"
451,Idiot,Horror Comedy,A group of friends face supernatural chaos in a haunted house.,Rambhala,"Shiva, Nikki Galrani, Akshara Gowda, Anandaraj"
452,Etharkkum Thunindhavan,Action Drama,"A lawyer fights against a gang exploiting women, seeking justice.",Pandiraj,"Suriya, Priyanka Arul Mohan, Vinay Rai, Sathyaraj"
453,Clap,Sports Drama,A former athlete trains a young girl to achieve her sporting dreams.,Prithivi Adithya,"Aadhi Pinisetty, Aakanksha Singh, Nassar"
454,Manmatha Leelai,Romantic Thriller,A man’s affair leads to unexpected consequences and moral dilemmas.,Venkat Prabhu,"Ashok Selvan, Samyuktha Hegde, Riya Suman"
455,Hey Sinamika,Romantic Drama,A couple navigates love and separation in a modern relationship.,Brinda,"Dulquer Salmaan, Kajal Aggarwal, Aditi Rao Hydari"
456,Kaatteri,Horror Comedy,A group of friends gets trapped in a haunted village with comedic chaos.,Deekay,"Vaibhav, Varalaxmi Sarathkumar, Sonam Bajwa"
457,Selfie,Action Thriller,A college student gets entangled in a scam involving fake IDs.,Mathi Maran,"GV Prakash Kumar, Gautham Vasudev Menon, Varsha Bollamma"
458,Visithiran,Crime Drama,A cop seeks redemption by solving a complex murder case.,M Padmakumar,"RK Suresh, Poorna, Madhu Shalini"
459,Kuttram Kuttrame,Crime Thriller,A cop investigates a series of murders in a rural setting.,Suseenthiran,"Jai, Dhivya Duraisamy, Bharathiraja"
460,Ayngaran,Action Drama,An inventor fights to protect his creation from corporate greed.,Ravi Arasu,"GV Prakash Kumar, Mahima Nambiar, Kaali Venkat"
461,O2,Thriller,A mother fights to save her son during a bus hijacking.,GS Viknesh,"Nayanthara, Rithvik, Ciby Bhuvan Chandar"
462,Veetla Vishesham,Comedy Drama,"A remake of Badhaai Ho, where a middle-aged couple faces an unexpected pregnancy.",RJ Balaji,"RJ Balaji, Sathyaraj, Urvashi, Aparna Balamurali"
463,Yaanai,Action Drama,A man protects his family from a powerful enemy in a rural setting.,Hari,"Arun Vijay, Priya Bhavani Shankar, Samuthirakani"
464,Thummbad,Action,A village youth fights against injustice and corruption.,Kanu Behl,"Vineet Kumar Singh, Raghubir Yadav, Pankaj Tripathi"
465,Kallapart,Action Thriller,A man seeks revenge against a powerful criminal syndicate.,Rajapandi,"Arvind Swami, Regina Cassandra, Anjali"
466,Narkarappor,War Drama,A soldier’s journey through war and personal redemption.,Jayam Raja,"Sivakarthikeyan, Priyanka Arul Mohan, Vinay Rai"
467,FIR,Action Thriller,A young man is falsely accused of terrorism and fights to clear his name.,Manu Anand,"Vishnu Vishal, Manjima Mohan, Gautham Menon"
468,Yugi,Thriller,A detective investigates a series of mysterious disappearances.,Zac Harriss,"Kathir, Narain, Natty Nataraj"
469,D Block,Horror Thriller,College students face a supernatural threat in their hostel.,Vijay Kumar Rajendran,"Arulnithi, Avantika, Karu Palaniappan"
470,Diary,Thriller,A cop investigates a cold case that leads to shocking revelations.,Innasi Pandiyan,"Arulnithi, Pavithra Marimuthu, Sha Ra"
471,Rocketry: The Nambi Effect,Biographical Drama,A biopic on ISRO scientist Nambi Narayanan’s life and struggles.,R Madhavan,"R Madhavan, Simran, Rajit Kapur"
472,Gatta Kusthi,Sports Comedy,A wrestler and his wife navigate societal norms and personal ambitions.,Chella Ayyavu,"Vishnu Vishal, Aishwarya Lekshmi, Karunas"
473,Pattathu Arasan,Action Drama,A family feud escalates into a battle for power and honor.,Sarkunam,"Atharvaa, Rajkiran, Ashika Ranganath"
474,Naai Sekar,Comedy,A man’s life turns chaotic when his dog gains the ability to speak.,Kishore Rajkumar,"Sathish, Pavithra Lakshmi, George Maryan"
475,Sila Nerangalil Sila Manithargal,Drama,Four stories explore human emotions and societal challenges.,Vishal Venkat,"Ashok Selvan, Abi Hassan, Nassar, Manikandan"
476,Kombu Vatcha Singam,Action Drama,A man fights to protect his village from external threats.,Sathya Prabhas,"Sasikumar, Madonna Sebastian, Soori"
477,Viruman,Action Drama,A young man seeks to reconnect with his estranged father.,M Muthaiah,"Karthi, Aditi Shankar, Rajkiran, Prakash Raj"
478,Thiruchitrambalam,Romantic Comedy,A man navigates love and family dynamics in a lighthearted tale.,Mithran R Jawahar,"Dhanush, Nithya Menen, Raashii Khanna, Priya Bhavani Shankar"
479,Jiivi 2,Thriller,A man’s life spirals into chaos as he uncovers a conspiracy.,VJ Gopinath,"Vetri, Ashwini, Karunakaran"
480,Kadaisi Vivasayi,Drama,An elderly farmer faces challenges in preserving his traditional way of life.,M Manikandan,"Nallandi, Vijay Sethupathi, Yogi Babu"
481,Anbulla Ghilli,Family Drama,A heartwarming tale of a boy and his dog facing life’s challenges.,Srinath Ramalingam,"Maithreya Raj, Dushyanth, Soori"
482,Merku Thodarchi Malai,Drama,A laborer’s struggle for survival in a remote hill village.,Lenin Bharathi,"Antony, Gayathri Krishnaa, Abu Valayamkulam"
483,Payanigal Gavanikkapadum,Comedy,A quirky tale of mistaken identities and comedic mishaps.,SP Shakthivel,"Vidharth, Lakshmi Priyaa, Karunakaran"
484,Sembi,Drama,A tribal girl and her grandmother seek justice after a traumatic event.,Prabu Solomon,"Ashwin Kumar, Kovai Sarala, Thambi Ramaiah"
485,Dejavu,Thriller,A cop investigates a kidnapping case with eerie similarities to a past event.,Arvindh Srinivasan,"Arulnithi, Smruthi Venkat, Achyuth Kumar"
486,Kaarotiyin Kaadhali,Romantic Drama,A young couple’s love story faces societal and familial obstacles.,Ramnath Palanikumar,"Nikhil, Sri Priyanka, Yogi Babu"
487,Yaanai Mugathaan,Fantasy Drama,A man encounters a mystical elephant that changes his life.,Rejishh Midhila,"Yogi Babu, Ramesh Thilak, Urvashi"
488,Ponniyin Selvan: I,Historical Drama,"A historical epic based on the Chola dynasty, focusing on political intrigue and power struggles.",Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi, Trisha"
489,Thaai Manasu,Family Drama,A mother’s sacrifices shape her son’s journey to success.,K Rajan,"Saravanan, Raksha, Nassar"
490,Katteri,Horror Comedy,A group of friends faces supernatural chaos in a haunted village.,Deekay,"Vaibhav, Varalaxmi Sarathkumar, Sonam Bajwa"
491,Kaalangalil Aval Vasantham,Romantic Drama,A young man’s love story takes unexpected turns.,Raghav Mirdath,"Kaushik Ram, Anjali Nair, RJ Ananthi"
492,Methagu 2,Biographical Drama,A sequel exploring the revolutionary’s continued fight for justice.,Kitturetnam Sri Balan,"Lizzie Antony, Kutti Manni, Eeshwar"
493,Thanne Vandi,Romantic Comedy,A quirky love story set in a small town with comedic twists.,Manika Vidya,"Umapathy Ramaiah, Bala Saravanan, Sanskruti Patel"
494,Pothanur Thabal Nilayam,Comedy Thriller,A post office worker uncovers a scam involving a treasure hunt.,Praveen,"Praveen, Anjali Nair, Venkat Sundar"
495,Adrishyam,Thriller,"A man searches for his missing wife, uncovering dark secrets.",Zac Harriss,"Jithan Ramesh, Narain, Sangeetha"
496,Kanam,Sci-Fi Drama,A man travels back in time to save his friend from a tragic fate.,Shree Karthick,"Sharwanand, Amala Akash, Ritu Varma"
497,Captain,Action Thriller,An army officer battles a mysterious creature in a restricted forest area.,Shakti Soundar Rajan,"Arya, Aishwarya Lekshmi, Simran"
498,Trigger,Action Thriller,A cop takes on a criminal syndicate to save his kidnapped son.,Sam Anton,"Atharvaa, Tanya Ravichandran, Arun Pandian"
499,Natchathiram Nagargiradhu,Romantic Drama,"A theater group explores love, caste, and societal norms.",Pa Ranjith,"Dushyanth Sridhar, Kalidas Jayaram, Kalaiyarasan"
500,Sinam,Action Thriller,A cop seeks justice for his wife’s murder in a small town.,GNR Kumaravelan,"Arun Vijay, Pallak Lalwani, Kaali Venkat"
501,Vendhu Thanindhathu Kaadu,Action Drama,A young man’s journey from a village to the Mumbai underworld.,Gautham Vasudev Menon,"Silambarasan, Siddhi Idnani, Radhika Sarathkumar"
502,Buffoon,Comedy Drama,A man’s political ambitions lead to comedic and chaotic events.,Ashok Veerappan,"Vaibhav, Anagha, Anthakudi Ilayaraja"
503,Aadhaar,Drama,A villager’s struggle to obtain an Aadhaar card exposes systemic issues.,Ramnath Palanikumar,"Karunas, Arun Pandian, Uma Riyaz Khan"
504,Naane Varuvean,Psychological Thriller,"A man confronts his dark past and a mysterious twin, unraveling a chilling mystery.",Selvaraghavan,"Dhanush, Indhuja Ravichandran, Yogi Babu, Prabhu"
505,Rendagam,Action Thriller,A man seeks revenge against a criminal network after a personal tragedy.,Fellini TP,"Arvind Swami, Kunchacko Boban, Eesha Rebba"
506,Suzhal: The Vortex,Crime Thriller,"A small-town festival turns chaotic as a girl goes missing, unraveling secrets.",Pushkar-Gayathri,"Kathir, Aishwarya Rajesh, Sriya Reddy"
507,Oke Oka Jeevitham (Tamil Dub),Sci-Fi Drama,A man gets a chance to rewrite his past through time travel.,Shree Karthick,"Sharwanand, Ritu Varma, Amala Akash"
508,Krishna Vrinda Vihari (Tamil Dub),Romantic Comedy,A young man’s love story faces family and societal challenges.,Aneesh Krishna,"Naga Shaurya, Shirley Setia, Radhika Sarathkumar"
509,Dongalunnaru Jagratha (Tamil Dub),Thriller,A thief trapped in a car must outsmart a smart vehicle to survive.,Satish Tripura,"Sri Simha, Samuthirakani, Preethi Asrani"
510,Kaaneyadavum Kaattum,Action Drama,A village youth fights to protect his community from exploitation.,Ganesh Vinayakan,"Tharun, Abarnathi, Ganesh Venkatraman"
